Project Name,Lat,Lon,Energy,Installed Capacity (kW),Registered As
Bath & West Community Energy,51.31502,-2.42862,Solar,38,Registered society
Bath & West Community Energy,51.35835,-2.48193,Solar,2.3,Registered society
Bath & West Community Energy,51.33343,-2.57727,Solar,250,Registered society
Bath & West Community Energy,51.33343,-2.57727,Solar,22.3,Registered society
Chelwood Community Energy  (Mongoose),51.35556,-2.5285,Solar,4900,Registered society
Leominster Sunrise Cooperative,52.21889,-2.73996,Solar,91,Registered society
The Schools' Energy Cooperative ,52.77185,1.51765,Solar,45.8,School
The Schools' Energy Cooperative ,52.93617,1.19814,Solar,47.8,School
Low Carbon Gordano,51.43681,-2.8532,Solar,9.9,Registered Society
Low Carbon Gordano,51.39677,-2.87876,Solar,915,Registered Society
Low Carbon Gordano,51.43053,-2.65038,Solar,5.4,Registered Society
Low Carbon Gordano,51.43053,-2.65038,Solar,49.9,Registered Society
Wiltshire Wildlife Community Energy,51.64141,-1.98731,Solar,4,Registered Society
Wiltshire Wildlife Community Energy,51.58893,-1.93875,Solar,4997.3,Registered Society
Wiltshire Wildlife Community Energy,51.63049,-1.88225,Solar,1000,Registered Society
Meadows Ozone Energy Services Company,52.93927,-1.14691,Solar,90,Private company limited by guarantee without share capital
Oldham  Power,53.54745,-2.1039,Solar,29,Community Benefit Society
Oldham  Power,53.56691,-2.10673,Solar,46,Community Benefit Society
Oldham  Power,53.54705,-2.08795,Solar,11,Community Benefit Society
Oldham  Power,53.52296,-2.09865,Solar,50,Community Benefit Society
Oldham  Power,53.52415,-2.1611,Solar,50,Community Benefit Society
Low Carbon Hub,51.75294,-1.22217,Solar,90.5,Private limited Company
Low Carbon Hub,51.75644,-1.20673,Solar,26,Private limited Company
Low Carbon Hub,51.73816,-1.23226,Solar,19.5,Private limited Company
Low Carbon Hub,51.72557,-1.23375,Solar,28.1,Private limited Company
Low Carbon Hub,51.72718,-1.19785,Solar,140,Private limited Company
Low Carbon Hub,51.68793,-1.2775,Solar,29.6,Private limited Company
Low Carbon Hub,51.67675,-1.26823,Solar,48.6,Private limited Company
Low Carbon Hub,51.75867,-1.26704,Solar,27.5,Private limited Company
Low Carbon Hub,51.75282,-1.29862,Solar,42.6,Private limited Company
Low Carbon Hub,51.81683,-1.28249,Solar,22.5,Private limited Company
Low Carbon Hub,51.8164,-1.27658,Solar,16,Private limited Company
West Oxford  Renewables,51.74815,-1.27377,Solar,50,Registered Society
West Oxford  Renewables,51.75177,-1.28656,Solar,52,Registered Society
West Oxford  Renewables,51.74253,-1.30345,Solar,100,Registered Society
Sheffield Renewables ,53.47501,-1.48445,Solar,50,Registered Society
Plymouth Energy ,50.39588,-4.16585,Solar,100,Registered Society
Plymouth Energy ,50.39065,-4.16189,Solar,50,Registered Society
Plymouth Energy ,50.39833,-4.15248,Solar,25,Registered Society
Plymouth Energy ,50.40261,-4.1857,Solar,30,Registered Society
Plymouth Energy ,50.40586,-4.17753,Solar,195,Registered Society
Plymouth Energy ,50.40586,-4.17753,Solar,50,Registered Society
Plymouth Energy ,50.40994,-4.17799,Solar,30,Registered Society
Plymouth Energy ,50.4127,-4.18196,Solar,4100,Registered Society
Plymouth Energy ,50.43141,-4.15382,Solar,30,Registered Society
Plymouth Energy ,50.40436,-4.12669,Solar,30,Registered Society
Plymouth Energy ,50.40185,-4.11986,Solar,30,Registered Society
Plymouth Energy ,50.42354,-4.09522,Solar,25,Registered Society
Plymouth Energy ,50.41762,-4.10885,Solar,50,Registered Society
Plymouth Energy ,50.41762,-4.10885,Solar,30,Registered Society
Plymouth Energy ,50.41727,-4.10165,Solar,30,Registered Society
Plymouth Energy ,50.41142,-4.10063,Solar,90,Registered Society
Plymouth Energy ,50.41142,-4.10063,Solar,45,Registered Society
Plymouth Energy ,50.3873,-4.1545,Solar,366,Registered Society
Plymouth Energy ,50.36901,-4.15079,Solar,4,Registered Society
Plymouth Energy ,50.37707,-4.1655,Solar,25,Registered Society
Plymouth Energy ,50.38552,-4.15173,Solar,250,Registered Society
Plymouth Energy ,50.39271,-4.15386,Solar,70,Registered Society
Plymouth Energy ,50.39318,-4.12567,Solar,50,Registered Society
Plymouth Energy ,50.37525,-4.12367,Solar,30,Registered Society
Yealm Community Energy,50.37392,-4.14194,Solar,5000,Registered society
The Schools' Energy Cooperative ,51.59251,0.69793,Solar,29.9,School
Reading Community Energy ,51.45512,-0.96784,Solar,28.9,Community Benefit Society
Reading Community Energy ,51.45265,-0.96804,Solar,4.3,Community Benefit Society
Reading Community Energy ,51.4513,-0.9672,Solar,2.6,Community Benefit Society
Reading Community Energy ,51.45487,-0.98308,Solar,37.4,Community Benefit Society
Reading Community Energy ,51.46618,-0.95431,Solar,26.3,Community Benefit Society
Reading Community Energy ,51.48267,-0.95356,Solar,18.7,Community Benefit Society
Reading Community Energy ,51.48283,-0.96754,Solar,13.8,Community Benefit Society
Reading Community Energy ,51.42412,-0.97264,Solar,19,Community Benefit Society
Reading Community Energy ,51.453,-1.03761,Solar,11.4,Community Benefit Society
Reading Community Energy ,51.44331,-1.04575,Solar,7.8,Community Benefit Society
Stockwood  Benefit  ,52.23355,-2.00527,Solar,50,Registered Society
The Schools' Energy Cooperative ,51.36312,0.50487,Solar,35.1,School
MaidEnergy ,51.42827,-0.52242,Solar,59.4,Registered Society
The Schools' Energy Cooperative ,51.34342,-0.50624,Solar,42.9,School
Wey Valley Solar Schools Energy Co-Operative ,51.36979,-0.50417,Solar,27,School
Nottinghamshire Community Energy (Mongoose),52.87589,-0.89649,Solar,5000,Registered society
Greater Manchester Community Renewables,53.47656,-2.27672,Solar,29.7,Community Benefit Society
Wiltshire Wildlife Community Energy,51.13506,-1.94831,Solar,10,Registered Society
Wiltshire Wildlife Community Energy,51.13506,-1.94831,Solar,4,Registered Society
Sheffield Renewables ,53.39827,-1.4265,Solar,50,Registered Society
Friends of Millhouses Park,53.34507,-1.49868,Solar,4,Charitable incorporated organisation
Sheffield Renewables ,53.35839,-1.47542,Solar,26.1,Registered Society
Orchard Community Energy,51.37281,0.70103,Solar,5000,Community Benefit Society
Frome Renewable Energy Coop,51.23529,-2.31032,Solar,50,Registered society
Frome Renewable Energy Coop,51.23732,-2.31157,Solar,150,Registered society
Dorset Community Energy,50.61147,-1.98384,Solar,50,Registered Society
Dorset Community Energy,50.64399,-2.39169,Solar,4,Registered Society
Dorset Community Energy,50.60148,-2.46751,Solar,50,Registered Society
The Schools' Energy Cooperative ,52.19532,0.39426,Solar,21.6,School
 Power Cornwall,50.45821,-4.46378,Solar,37.4,Registered Society
 Power Cornwall,50.48893,-4.46774,Solar,29.9,Registered Society
Tamar Energy ,50.37628,-4.20578,Solar,43,Registered Society
Tamar Energy ,50.50489,-4.30731,Solar,34,Registered Society
Green Energy Nayland ,51.97233,0.8687,Solar,15.5,Registered Society
Bath & West Community Energy,50.42376,-4.03648,Solar,4020,Registered society
Bath & West Community Energy,50.43933,-4.01291,Solar,4,Registered society
Plymouth Energy ,50.38055,-4.04473,Solar,30,Registered Society
Plymouth Energy ,50.38,-4.031,Solar,30,Registered Society
Plymouth Energy ,50.38851,-4.05194,Solar,60,Registered Society
Plymouth Energy ,50.38952,-4.03335,Solar,30,Registered Society
Plymouth Energy ,50.39544,-4.06116,Solar,30,Registered Society
Plymouth Energy ,50.39293,-4.06546,Solar,100,Registered Society
Plymouth Energy ,50.39431,-4.07399,Solar,25,Registered Society
Plymouth Energy ,50.36386,-4.07867,Solar,30,Registered Society
Plymouth Energy ,50.35892,-4.127,Solar,50,Registered Society
Tamar Energy ,50.36316,-4.0884,Solar,100,Registered Society
The Schools' Energy Cooperative ,51.75339,-0.56419,Solar,49.9,School
Brighton Energy Coop,51.10832,-0.57572,Solar,177,Registered Society
Wey Valley Solar Schools Energy Co-Operative ,51.09342,-0.74972,Solar,33.5,School
Wey Valley Solar Schools Energy Co-Operative ,51.17669,-0.61633,Solar,49,School
Wey Valley Solar Schools Energy Co-Operative ,51.20128,-0.59396,Solar,47,School
Wey Valley Solar Schools Energy Co-Operative ,51.16176,-0.64174,Solar,49,School
Bath & West Community Energy,51.31862,-2.18006,Solar,50,Registered society
Nadder Community Energy,51.09591,-2.09109,Solar,25.4,Community Benefit Society
Nadder Community Energy,51.09719,-2.10699,Solar,49.9,Community Benefit Society
Nadder Community Energy,51.0564,-2.13241,Solar,49.8,Community Benefit Society
Nadder Community Energy,51.04799,-2.12328,Solar,17.9,Community Benefit Society
Nadder Community Energy,51.04593,-2.1014,Solar,49.8,Community Benefit Society
Nadder Community Energy,51.05102,-2.07639,Solar,73.8,Community Benefit Society
The Schools' Energy Cooperative ,51.5607,0.69423,Solar,45.8,School
 Power Cornwall,50.34221,-4.66023,Solar,50,Registered Society
 Power Cornwall,50.10534,-5.54945,Solar,150,Registered Society
Southern Staffordshire Community Energy,52.81129,-2.09779,Solar,88.8,Registered Society
 Energy Greater Manchester (CEGM),53.40966,-2.15626,Solar,29,Registered society
Southern Staffordshire Community Energy,53.00317,-2.21207,Solar,32,Registered Society
Southern Staffordshire Community Energy,53.00752,-2.2041,Solar,49.5,Registered Society
Southern Staffordshire Community Energy,52.98368,-2.13291,Solar,40,Registered Society
Southern Staffordshire Community Energy,52.98368,-2.13291,Solar,28,Registered Society
 Energy Warwickshire ,52.19527,-1.7134,Solar,10,Registered Society
Brixton Energy,51.44775,-0.12075,Solar,52,Registered society
Greater Manchester Community Renewables,53.41223,-2.43206,Solar,49.8,Community Benefit Society
Greater Manchester Community Renewables,53.41223,-2.43206,Solar,29.8,Community Benefit Society
St John's Sunshine,53.45714,-2.26816,Solar,10,Registered Society
Kelsale-cum-Carlton Community Energy  (aka Power4KcC),52.23108,1.49479,Solar,8,Overseas entity
Swansea Community Energy & Enterprise Scheme,51.65461,-3.97402,Solar,30,Community Benefit Society
Swansea Community Energy & Enterprise Scheme,51.64348,-3.96083,Solar,30,Community Benefit Society
Swansea Community Energy & Enterprise Scheme,51.65102,-3.95984,Solar,50,Community Benefit Society
Swansea Community Energy & Enterprise Scheme,51.66315,-3.94402,Solar,40,Community Benefit Society
Egni - Wales Solar Cooperative,51.62615,-3.96733,Solar,30,Private limited Company
Gower Power Cooperative CIC,51.6272,-4.0439,Solar,1000,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
Swansea Community Energy & Enterprise Scheme,51.62772,-3.96381,Solar,40,Community Benefit Society
Swansea Community Energy & Enterprise Scheme,51.63259,-3.98063,Solar,50,Community Benefit Society
Swansea Community Energy & Enterprise Scheme,51.63309,-3.98311,Solar,50,Community Benefit Society
Swansea Community Energy & Enterprise Scheme,51.64812,-3.98302,Solar,20,Community Benefit Society
The Schools' Energy Cooperative ,53.25624,-2.48209,Solar,28.9,School
Brendon Energy,51.035,-3.06277,Solar,41,Registered Society
Brendon Energy,50.90802,-3.1199,Solar,9.8,Registered Society
Brendon Energy,51.0141,-3.10543,Solar,11.4,Registered Society
Brendon Energy,50.98076,-3.23863,Solar,10,Registered Society
Brendon Energy,50.97593,-3.23695,Solar,30,Registered Society
Brendon Energy,51.01973,-2.97286,Solar,10,Registered Society
Brendon Energy,50.90814,-3.12111,Solar,9.8,Registered Society
Brendon Energy,51.04122,-3.31368,Solar,28.9,Registered Society
Brendon Energy,51.04225,-3.31338,Solar,8.5,Registered Society
Exeter Community Energy ,50.80065,-3.19628,Solar,24,Registered Society
 Renewable Energy Wandsworth (CREW),51.45538,-0.18064,Solar,60,Overseas entity
Two Rivers Community Energy  ,50.48942,-3.55478,Solar,96,Community Benefit Society
Atlantic Community Energy,51.01387,-4.19582,Solar,6.8,Private limited Company
Tamar Energy ,50.55645,-4.13457,Solar,100,Registered Society
Tamar Energy ,50.56573,-4.12067,Solar,50,Registered Society
Totnes Renewable Energy  (TRESOC),50.43495,-3.68372,Solar,151.7,Registered society
Totnes Renewable Energy  (TRESOC),50.43495,-3.68372,Solar,27.4,Registered society
Totnes Renewable Energy  (TRESOC),50.43156,-3.70911,Solar,7,Registered society
Totnes Renewable Energy  (TRESOC),50.44978,-3.70062,Solar,29.9,Registered society
Totnes Renewable Energy  (TRESOC),50.42356,-3.78396,Solar,49.9,Registered society
 Power Cornwall,50.17044,-5.10043,Solar,10,Registered Society
 Power Cornwall,50.16969,-5.10737,Solar,10,Registered Society
 Power Cornwall,50.29942,-5.20131,Solar,50,Registered Society
 Power Cornwall,50.29816,-5.20072,Solar,250,Registered Society
Fal Energy Partnership,50.16021,-5.0862,Solar,50,Registered Society
Fal Energy Partnership,50.16145,-5.08662,Solar,29.9,Registered Society
Two Rivers Community Energy  ,50.26175,-5.05067,Solar,87,Community Benefit Society
Vauxhall Energy (Repowering),51.46471,-0.1151,Solar,65,Registered society
Low Carbon Hub,51.60321,-1.13651,Solar,34.5,Private limited Company
Low Carbon Hub,51.56996,-1.30263,Solar,29.9,Private limited Company
Low Carbon Hub,51.60723,-1.25392,Solar,38.4,Private limited Company
Westmill Solar Cooperative,51.61409,-1.64698,Solar,4864,Registered society
Westmill Sustainable Energy Trust,51.61683,-1.66578,Solar,10.1,Charitable incorporated organisation
Westmill Sustainable Energy Trust,51.6146,-1.64483,Solar,3.9,Charitable incorporated organisation
Lymm Community Energy ,53.37984,-2.47218,Solar,31.5,Community Benefit Society
Lymm Community Energy ,53.37714,-2.49085,Solar,31.5,Community Benefit Society
Lymm Community Energy ,53.38599,-2.45988,Solar,31.5,Community Benefit Society
Lymm Community Energy ,53.38435,-2.49666,Solar,31.5,Community Benefit Society
 Energy Warwickshire ,52.28997,-1.5832,Solar,50,Registered Society
 Energy Warwickshire ,52.28997,-1.5832,Solar,50,Registered Society
 Energy Warwickshire ,52.28997,-1.5832,Solar,10,Registered Society
 Energy Warwickshire ,52.26856,-1.54041,Solar,50,Registered Society
Brighton & Hove Energy Services Co-operative (BHESCo),50.93933,0.14398,Solar,27,Private limited Company
Brookvale community association,53.31753,-2.67815,Solar,10,Charitable incorporated organisation
Avalon Community Energy ,51.11669,-2.7485,Solar,88,Registered Society
Wedmore  Power Cooperative,51.23193,-2.8202,Solar,1000,Registered society
Sheffield Renewables ,53.4847,-1.32877,Solar,50,Registered Society
Dorset Community Energy,50.7084,-2.454,Solar,30,Registered Society
Dorset Community Energy,50.70894,-2.44884,Solar,30,Registered Society
Dorset Community Energy,50.77887,-2.57706,Solar,21,Registered Society
Dorset Community Energy,50.69943,-2.50332,Solar,10,Registered Society
Dorset Community Energy,50.73246,-2.45914,Solar,12,Registered Society
Dorset Community Energy,50.61111,-2.49142,Solar,30,Registered Society
Dorset Community Energy,50.73622,-2.74959,Solar,15,Registered Society
Dorset Community Energy,50.7329,-2.75798,Solar,17,Registered Society
Dorset Community Energy,50.7672,-2.77372,Solar,16,Registered Society
The Schools' Energy Cooperative ,52.2491,0.39563,Solar,11.4,School
The Schools' Energy Cooperative ,52.08613,0.45068,Solar,26,School
MALVERN COMMUNITY ENERGY CO-OPERATIVE LIMITED,52.11404,-2.32273,Solar,30,Registered Society
Burneside Community Energy ,54.35605,-2.76157,Solar,250,Community Benefit Society
 Energy Cumbria,54.31153,-2.73401,Solar,29.7,Community Benefit Society
Low Carbon Gordano,51.33712,-2.81141,Solar,184,Registered Society
Basingstoke Energy Services Cooperative,51.0707,-1.32178,Solar,47,Registered society
The Schools' Energy Cooperative ,51.77569,0.68551,Solar,30,School
Low Carbon Hub,51.85158,-1.35205,Solar,41.1,Private limited Company
Low Carbon Hub,51.79242,-1.47107,Solar,50,Private limited Company
Low Carbon Hub,51.85105,-1.42951,Solar,34.3,Private limited Company
Low Carbon Hub,51.87329,-1.47844,Solar,24,Private limited Company
Low Carbon Hub,51.94087,-1.55885,Solar,100,Private limited Company
Low Carbon Hub,51.92645,-1.36256,Solar,10.4,Private limited Company
Greater Manchester Community Renewables,53.5274,-2.42883,Solar,49.7,Community Benefit Society
Greater Manchester Community Renewables,53.44625,-2.42159,Solar,28.6,Community Benefit Society
Low Carbon Hub,51.64721,-0.71048,Solar,49.9,Private limited Company
Bath & West Community Energy,50.89755,-2.77257,Solar,5000,Registered society
Bath & West Community Energy,50.88228,-2.80456,Solar,5,Registered society
Calleva Community Energy,52.48915,-1.8884,Solar,90,Registered Society
Furze Platt School,51.535822,-0.73913628,Solar,35,School
Longridge Activity Centre,51.56407,-0.76053,Solar,26,Community Benefit Society
Riverside School Solar,51.53089,-0.72228,Solar,50,School
Braywick Leisure Centre Solar,51.51532,-0.71905,Solar,108,Overseas entity
Patcham Junior School Solar,50.864,-0.14469,Solar,30,School
Junction Studios Solar,50.82746,-0.13799,Solar,4,Private limited Company
Hertford Infants & Nursery School,50.84418,-0.12984,Solar,48,School
Cook Classics Kitchen Solar,51.34377,0.765367,Solar,158,Private limited Company
Brunswick Primary School,50.82928,-0.15909,Solar,99,School
Brighton Road Baptist Church,51.06036,-0.32139,Solar,30,Charitable incorporated organisation
Alistair Fleming Workshop,50.94705,-0.06161,Solar,28,Private limited Company
York Commumity Solar Farm,53.95601,-1.08863,Solar,leer,Private limited Company
Croydon Community Energy,51.36213,-0.09631,Solar,leer,Community Benefit Society
South Hill Parish Hall Solar,50.5171,-4.3598,Solar,4,Charitable incorporated organisation
South Hill Association for Renewable Energy,50.52809,-4.35812,Solar,40,Community Benefit Society
Bristol Energy Co-operative (Hamilton House),51.46287,-2.58966,Solar,20,Registered society
Bristol Energy Co-operative (Coniston  Centre),51.53799,-2.58384,Solar,22,Registered society
Bristol Energy Co-operative (Wicks Sports Ground),51.44698,-2.423,Solar,27,Registered society
Bristol Energy Co-operative (The Architecture Centre),51.4498,-2.59704,Solar,4,Registered society
Bristol Energy Co-operative (Indoor Bowling Club ),51.42933,-2.63069,Solar,152,Registered society
Acta  Theatre,51.439442,-2.6059093,Solar,22kWhs,Registered society
Clifton Green Primary School,53.972733,-1.0933342,Solar,155kWh,School
Adel Primary School,53.849928,-1.5768848,Solar,45.75,School
Ardley Hill School,51.875214,-0.51648692,Solar,29.4,School
Ashton West End School,53.484327,-2.1112953,Solar,29.7,School
Bardsey Lower School,53.884292,-1.4451722,Solar,43.3,School
Bardsey Upper School,53.884292,-1.4451722,Solar,63.84,School
Bidston Avenue Primary School,53.395416,-3.0617459,Solar,37.37,School
Biggleswade Kitelands School,52.077273,-0.25114318,Solar,29.7,School
Biggleswade Mead School,52.081242,-0.25443227,Solar,159.84,School
Braunstone  Primary School,52.629704,-1.1828868,Solar,49.77,School
Captains Close School,52.765682,-0.9576471,Solar,29.64,School
Casterton College,52.673074,-0.51835954,Solar,91.57,Private Limited Company by guarantee without share capital use of 'Limited' exemption
Churwell Primary School,53.756226,-1.5973311,Solar,82.125,School
Cuckoo Hall Academy,51.636491,-0.044260505,Solar,146.12,Private company limited by guarantee without share capital
Dene  School,54.757054,-1.3191757,Solar,169.95,School
Dene  School (Sports Hall),54.757054,-1.3191757,Solar,29.43,School
Enderby Danemill Primary School,52.585597,-1.2063045,Solar,28.83,School
Farndon Fields School,52.466176,-0.92549114,Solar,29.4,School
Farsley Infant School,53.809335,-1.6805429,Solar,49.125,School
Farsley Junior School,53.809335,-1.6805429,Solar,85.02,School
Fossebrook Primary School,52.624193,-1.2040555,Solar,49.59,School
Foxfield School Main School,53.371621,-3.0748618,Solar,275.52,School
Greystoke Primary School,52.573803,-1.2025038,Solar,49.5,School
Hazeley Academy,52.019367,-0.81155517,Solar,215.88,Private Limited Company by guarantee without share capital use of 'Limited' exemption
Heathfield Knoll School,52.407604,-2.242638,Solar,48.6,School
Heron Hall Academy,51.646918,-0.049449046,Solar,93.6,Private limited Company
Hollybush Primary School,53.816014,-1.6220169,Solar,276,School
Irby Primary School,53.356116,-3.1120492,Solar,29.7,School
Kerr Mackie School,53.828157,-1.5144945,Solar,81.75,School
Kibworth School,52.541627,-0.99994245,Solar,49.84,School
Kingfisher Hall Primary Academy,51.651788,-0.044903125,Solar,29.92,School
Lancaster Royal Grammar School,54.04719,-2.7901235,Solar,108.58,School
Lawns Nursery & Children's Centre,52.088146,-0.25795793,Solar,29.16,School
Leighfield Primary School,52.585769,-0.73310567,Solar,49.84,School
Manston Primary School,53.814072,-1.4440036,Solar,49.125,School
Mountjoy School,50.819041,-2.7492969,Solar,49.77,School
Mowmacre Hill Primary School,52.668765,-1.1445974,Solar,49.8,School
Northgate Primary School,52.617136,1.7278999,Solar,29.47,School
Notre Dame St Paul School,52.622866,1.2966691,Solar,29.4,School
Notre Dame St Peter St. Julian School,52.622866,1.2966691,Solar,29.64,School
Otley All Saints Primary School,53.902282,-1.6816307,Solar,29.76,School
Otley Library,53.90486,-1.6915654,Solar,29.9,Council
Otley Prince Henry's Grammar School Specialist Language College,53.912686,-1.6938522,Solar,276.375,School
Overchurch Infant School,53.389081,-3.1021271,Solar,29.925,School
Parkland Primary School,52.579656,-1.137153,Solar,49.84,School
Priory School,51.364381,-2.9099054,Solar,72.9,School
Priory Science,51.364381,-2.9099054,Solar,29.97,School
Ribbon Academy,54.81973,-1.3888867,Solar,119.34,Private Limited Company by guarantee without share capital use of 'Limited' exemption
Rosebank Primary School,53.804667,-1.5675009,Solar,20.25,School
Roundhay School - Pavilion,53.83064,-1.510637,Solar,100.8,School
Roundhay School Primary Campus,53.829723,-1.4891337,Solar,77.81,School
Seacroft Grange,53.811235,-1.4725923,Solar,90,School
Seaham Trinity,54.835404,-1.3410248,Solar,49.5,School
Seven Hills Primary School,53.747621,-1.5963519,Solar,29.15,School
Shenley Brook End-East,52.007314,-0.78987488,Solar,135.3,Private Limited Company by guarantee without share capital use of 'Limited' exemption
Shenley Brook End-West,52.007314,-0.78987488,Solar,135.63,Private Limited Company by guarantee without share capital use of 'Limited' exemption
Sileby Redlands  Primary School,52.731861,-1.1098943,Solar,29.61,School
Spinfield School,51.573056,-0.78937627,Solar,50.02,School
St Albans Arts Block,52.062741,1.1988612,Solar,29.92,Private limited Company
St Albans Main,52.062741,1.1988612,Solar,79.56,Private limited Company
St Augustine,52.65881,1.2090798,Solar,49.59,School
St Bedes Sports Hall,52.190526,0.16245168,Solar,49.84,Private limited Company
St Edmunds,52.24106,0.71386453,Solar,29.76,School
St Felix,52.081651,0.41999106,Solar,29.7,Private company limited by guarantee without share capital
St Francis of Assisi RC Primary School,52.623952,1.2656267,Solar,29.4,School
St George Primary School,53.423445,-3.0625497,Solar,29.4,School
St James' CE Primary School,53.931001,-1.3788955,Solar,48.195,School
St Laurence RC Primary School,52.230838,0.11977535,Solar,29.4,School
St Louis Catholic Academy,52.249445,0.40749006,Solar,22.44,Private Limited Company by guarantee without share capital use of 'Limited' exemption
St Mary and St Peter,52.581996,1.724412,Solar,29.4,Private limited Company
St Mary RC Primary School - Lowestoft,52.461152,1.7414356,Solar,29.68,School
"St Mary RC Primary School, Ipswich",52.061454,1.1763127,Solar,29.4,School
St Pancras Catholic Primary School,52.079736,1.1304033,Solar,29.7,School
The Beech Academy,53.153806,-1.2150693,Solar,29.815,Private Limited Company by guarantee without share capital use of 'Limited' exemption
The Bramble Academy,53.165122,-1.1986634,Solar,29.625,Private Limited Company by guarantee without share capital use of 'Limited' exemption
The Dassett CofE Primary School,52.167661,-1.3922975,Solar,29.9,School
Valley View  Primary School,53.81526,-1.6584144,Solar,102,School
Vane Road Primary School,54.622789,-1.5594308,Solar,49.8,School
Wellfield  School,54.731709,-1.377198,Solar,146.775,School
Whitworth Park School,54.694815,-1.6140547,Solar,153.9,School
Wooburn Green Primary School,51.592393,-0.68294424,Solar,29.7,School
Woodham Academy,54.626942,-1.5623598,Solar,49.68,Private Limited Company by guarantee without share capital use of 'Limited' exemption
Woodpecker Hall Primary Academy,51.636982,-0.045164245,Solar,29.78,School
Woolden Hill Primary School,52.679457,-1.1872247,Solar,29.93,School
Worle  School,51.354619,-2.9289699,Solar,369.87,School
Otley Energy,53.901925,-1.6930481,Solar,Not applicable,Community Benefit Society
Chapeltown CoHousing,53.819472,-1.5343718,Solar,50,Registered society
Energise Barnsley - social impact,53.55162,-1.4828,Solar,Not applicable,Registered society
Grimsby Community Energy - Smarter Energy Project,53.571385,-0.073152825,Solar,90,Registered society
Egni Co-op - tackling climate change and expanding their portfolio,51.800904,-3.8204712,Solar,Not available,Charitable incorporated organisation
"Sacred Heart Catholic Primary School, a Voluntary Academy [Solar for Schools]",53.812567,-1.5957437,Solar,55,School
Friars Primary Foundation School [Solar for Schools],51.50099,-0.10275828,Solar,30,School
Ormiston Chadwick Academy System 2 [Solar for Schools],53.372113,-2.7594143,Solar,30,School
Ormiston Chadwick Academy System 1 [Solar for Schools],53.372113,-2.7594143,Solar,30,School
Ormiston Chadwick Academy [Solar for Schools],53.372113,-2.7594143,Solar,59,School
St James the Great Roman Catholic Primary School [Solar for Schools],51.474356,-0.073105456,Solar,34,School
The Brunts Academy [Solar for Schools],53.151401,-1.1902012,Solar,42,School
Enfield Heights Academy [Solar for Schools],51.663094,-0.046628827,Solar,23,School
Carr Hill Primary and Nursery School [Solar for Schools],53.331738,-0.93580824,Solar,30,School
Staindrop Academy [Solar for Schools],54.577521,-1.8119746,Solar,26,School
Mattishall Primary School [Solar for Schools],52.658964,1.0319371,Solar,50,School
St John's CofE Primary School [Solar for Schools],53.144252,-2.3441451,Solar,21,School
Little London  Primary School [Solar for Schools],53.808959,-1.53994,Solar,50,School
The Holme Church of England Primary School [Solar for Schools],51.122129,-0.82747643,Solar,30,School
Ferryhill School [Solar for Schools],54.684163,-1.575627,Solar,92,School
The Manor Academy [Solar for Schools],53.171777,-1.1870949,Solar,144,School
The Knights Templar School [Solar for Schools],51.987677,-0.19077357,Solar,150,School
Durham  Business College for Technology and Enterprise [Solar for Schools],54.78159,-1.637671,Solar,50,School
Coopers Edge School [Solar for Schools],51.841419,-2.1817373,Solar,197,School
The Mount School (York) [Solar for Schools],53.952345,-1.0977079,Solar,55,School
St Martin's CofE (Aided) Junior School [Solar for Schools],51.326278,-0.26559542,Solar,98,School
"Christ's College, Guildford [Solar for Schools]",51.255684,-0.57835836,Solar,76,School
Horsell CofE Aided Junior School [Solar for Schools],51.324969,-0.57455243,Solar,30,School
St Bartholomew's CofE Aided Primary School [Solar for Schools],51.092291,-0.71609175,Solar,30,School
St Jude's Church of England Junior School [Solar for Schools],51.425752,-0.57361975,Solar,130,School
Queen Eleanor's Church of England School [Solar for Schools],51.238175,-0.59620287,Solar,49,School
Chilton Academy [Solar for Schools],54.659524,-1.5563829,Solar,78,School
Tow Law Millennium Primary School [Solar for Schools],54.741819,-1.8144618,Solar,30,School
Easington Colliery Primary School [Solar for Schools],54.787392,-1.339986,Solar,25,School
Parkside Academy [Solar for Schools],54.707015,-1.6911792,Solar,150,School
"Greenfield  College, A Specialist Arts and Science School [Solar for Schools]",54.619689,-1.6010293,Solar,106,School
Poltair School [Solar for Schools],50.342836,-4.7862924,Solar,98,School
Edwalton Primary School [Solar for Schools],52.913023,-1.1099927,Solar,30,School
Oasis Academy Limeside [Solar for Schools],53.517765,-2.1279576,Solar,27,School
Pinehurst Primary School Anfield [Solar for Schools],53.433584,-2.9461024,Solar,21,School
Weald of Kent Grammar School [Solar for Schools],51.183937,0.28062257,Solar,20,School
Lutley Primary School [Solar for Schools],52.440607,-2.0747318,Solar,50,School
Sir John Nelthorpe School [Solar for Schools],53.553698,-0.4894342,Solar,28,School
Trent Vale Infant School [Solar for Schools],52.915215,-1.2035354,Solar,30,School
The Pedmore High School [Solar for Schools],52.450066,-2.126468,Solar,50,School
Belle Vue Primary School [Solar for Schools],52.481229,-2.172557,Solar,23,School
Sovereign and Strawberry Meadow Children's Centre [Solar for Schools],52.629584,-2.4413538,Solar,20,School
Kings Lodge Primary School [Solar for Schools],51.447204,-2.1021313,Solar,24,School
Churston Ferrers Grammar School Academy [Solar for Schools],50.396011,-3.5586198,Solar,50,School
